Device ID,Timestamp,Device Type,Volume Unit,Volume
MTR-B003,2025-10-05 00:00:00,B,liters,623.77
MTR-B004,2025-10-05 00:00:00,B,liters,598.08
MTR-B005,2025-10-05 00:00:00,B,gallons,238.88
MTR-C001,2025-10-05 00:00:00,C,gallons,1277.88
MTR-C002,2025-10-05 00:00:00,C,liters,2510.69
MTR-C003,2025-10-05 00:00:00,C,gallons,914.94
MTR-C004,2025-10-05 00:00:00,C,gallons,993.36
MTR-C005,2025-10-05 00:00:00,C,liters,3780.56
MTR-D001,2025-10-05 00:00:00,D,gallons,7910.89
MTR-A001,2025-10-06 00:00:00,A,gallons,103.54
MTR-A002,2025-10-06 00:00:00,A,liters,518.88
MTR-A003,2025-10-06 00:00:00,A,liters,311.53
MTR-A004,2025-10-06 00:00:00,A,liters,410.4
MTR-A005,2025-10-06 00:00:00,A,gallons,85.06
MTR-A006,2025-10-06 00:00:00,A,gallons,138.34
MTR-A007,2025-10-06 00:00:00,A,gallons,114.6
MTR-A008,2025-10-06 00:00:00,A,liters,408.82
MTR-A009,2025-10-06 00:00:00,A,gallons,97.23
MTR-A010,2025-10-06 00:00:00,A,liters,349.98
MTR-B001,2025-10-06 00:00:00,B,liters,762.12
MTR-B002,2025-10-06 00:00:00,B,gallons,204.54
MTR-B003,2025-10-06 00:00:00,B,liters,499.65
MTR-B004,2025-10-06 00:00:00,B,liters,876.06
MTR-B005,2025-10-06 00:00:00,B,gallons,232.8
MTR-C001,2025-10-06 00:00:00,C,gallons,850.66
MTR-C002,2025-10-06 00:00:00,C,liters,3602.5
MTR-C003,2025-10-06 00:00:00,C,gallons,1145.93
MTR-C004,2025-10-06 00:00:00,C,gallons,849.28
MTR-C005,2025-10-06 00:00:00,C,liters,4009.49
MTR-D001,2025-10-06 00:00:00,D,gallons,9209.3
MTR-A001,2025-10-07 00:00:00,A,gallons,98.31
MTR-A002,2025-10-07 00:00:00,A,liters,328.2
MTR-A003,2025-10-07 00:00:00,A,liters,285.09
MTR-A004,2025-10-07 00:00:00,A,liters,607.34
MTR-A005,2025-10-07 00:00:00,A,gallons,87.36
MTR-A006,2025-10-07 00:00:00,A,gallons,82.64
MTR-A007,2025-10-07 00:00:00,A,gallons,89.9
MTR-A008,2025-10-07 00:00:00,A,liters,374.3
MTR-A009,2025-10-07 00:00:00,A,gallons,102.88
MTR-A010,2025-10-07 00:00:00,A,liters,446.45
MTR-B001,2025-10-07 00:00:00,B,liters,664.01
MTR-B002,2025-10-07 00:00:00,B,gallons,184.76
MTR-B003,2025-10-07 00:00:00,B,liters,767.89
MTR-B004,2025-10-07 00:00:00,B,liters,814.18
MTR-B005,2025-10-07 00:00:00,B,gallons,180.4
MTR-C001,2025-10-07 00:00:00,C,gallons,894.19
MTR-C002,2025-10-07 00:00:00,C,liters,5028.49
MTR-C003,2025-10-07 00:00:00,C,gallons,778.09
MTR-C004,2025-10-07 00:00:00,C,gallons,1133.09
MTR-C005,2025-10-07 00:00:00,C,liters,4025.8
MTR-D001,2025-10-07 00:00:00,D,gallons,7661.57
MTR-A001,2025-10-08 00:00:00,A,gallons,87.87
MTR-A002,2025-10-08 00:00:00,A,liters,498.0
MTR-A003,2025-10-08 00:00:00,A,liters,509.51
MTR-A004,2025-10-08 00:00:00,A,liters,301.28
MTR-A005,2025-10-08 00:00:00,A,gallons,90.23
MTR-A006,2025-10-08 00:00:00,A,gallons,107.84
MTR-A007,2025-10-08 00:00:00,A,gallons,64.55
MTR-A008,2025-10-08 00:00:00,A,liters,391.04
MTR-A009,2025-10-08 00:00:00,A,gallons,108.41
MTR-A010,2025-10-08 00:00:00,A,liters,306.41
MTR-B001,2025-10-08 00:00:00,B,liters,823.8
MTR-B002,2025-10-08 00:00:00,B,gallons,136.74
MTR-B003,2025-10-08 00:00:00,B,liters,807.42
MTR-B004,2025-10-08 00:00:00,B,liters,555.16
MTR-B005,2025-10-08 00:00:00,B,gallons,97.92
MTR-C001,2025-10-08 00:00:00,C,gallons,1165.42
MTR-C002,2025-10-08 00:00:00,C,liters,4230.92
MTR-C003,2025-10-08 00:00:00,C,gallons,788.32
MTR-C004,2025-10-08 00:00:00,C,gallons,1336.81
MTR-C005,2025-10-08 00:00:00,C,liters,3789.56
MTR-D001,2025-10-08 00:00:00,D,gallons,8649.56
MTR-A001,2025-10-09 00:00:00,A,gallons,80.14
MTR-A002,2025-10-09 00:00:00,A,liters,403.69
MTR-A003,2025-10-09 00:00:00,A,liters,368.3
MTR-A004,2025-10-09 00:00:00,A,liters,435.02
MTR-A005,2025-10-09 00:00:00,A,gallons,119.17
MTR-A006,2025-10-09 00:00:00,A,gallons,89.97
MTR-A007,2025-10-09 00:00:00,A,gallons,116.28
MTR-A008,2025-10-09 00:00:00,A,liters,305.31
MTR-A009,2025-10-09 00:00:00,A,gallons,172.29
MTR-A010,2025-10-09 00:00:00,A,liters,468.58
MTR-B001,2025-10-09 00:00:00,B,liters,962.45
MTR-B002,2025-10-09 00:00:00,B,gallons,109.6
MTR-B003,2025-10-09 00:00:00,B,liters,1020.41
MTR-B004,2025-10-09 00:00:00,B,liters,625.74
MTR-B005,2025-10-09 00:00:00,B,gallons,223.15
MTR-C001,2025-10-09 00:00:00,C,gallons,1199.47
MTR-C002,2025-10-09 00:00:00,C,liters,3958.51
MTR-C003,2025-10-09 00:00:00,C,gallons,1197.27
MTR-C004,2025-10-09 00:00:00,C,gallons,1182.12
MTR-C005,2025-10-09 00:00:00,C,liters,4051.55
MTR-D001,2025-10-09 00:00:00,D,gallons,8781.72
MTR-A001,2025-10-10 00:00:00,A,gallons,98.55
MTR-A002,2025-10-10 00:00:00,A,liters,396.26
MTR-A003,2025-10-10 00:00:00,A,liters,297.03
MTR-A004,2025-10-10 00:00:00,A,liters,210.21
MTR-A005,2025-10-10 00:00:00,A,gallons,123.36
MTR-A006,2025-10-10 00:00:00,A,gallons,125.47
MTR-A007,2025-10-10 00:00:00,A,gallons,99.27
MTR-A008,2025-10-10 00:00:00,A,liters,369.88
MTR-A009,2025-10-10 00:00:00,A,gallons,88.63
MTR-A010,2025-10-10 00:00:00,A,liters,320.89
MTR-B001,2025-10-10 00:00:00,B,liters,1138.61
MTR-B002,2025-10-10 00:00:00,B,gallons,156.06
MTR-B003,2025-10-10 00:00:00,B,liters,666.75
MTR-B004,2025-10-10 00:00:00,B,liters,756.42
MTR-B005,2025-10-10 00:00:00,B,gallons,186.28
MTR-C001,2025-10-10 00:00:00,C,gallons,795.86
MTR-C002,2025-10-10 00:00:00,C,liters,3333.77
MTR-C003,2025-10-10 00:00:00,C,gallons,1070.42
MTR-C004,2025-10-10 00:00:00,C,gallons,906.48
MTR-C005,2025-10-10 00:00:00,C,liters,4085.45
MTR-D001,2025-10-10 00:00:00,D,gallons,7900.31
MTR-A001,2025-10-11 00:00:00,A,gallons,110.55
MTR-A002,2025-10-11 00:00:00,A,liters,472.17
MTR-A003,2025-10-11 00:00:00,A,liters,353.44
MTR-A004,2025-10-11 00:00:00,A,liters,329.11
MTR-A005,2025-10-11 00:00:00,A,gallons,130.67
MTR-A006,2025-10-11 00:00:00,A,gallons,128.76
MTR-A007,2025-10-11 00:00:00,A,gallons,100.64
MTR-A008,2025-10-11 00:00:00,A,liters,480.24
MTR-A009,2025-10-11 00:00:00,A,gallons,84.75
MTR-A010,2025-10-11 00:00:00,A,liters,324.74
MTR-B001,2025-10-11 00:00:00,B,liters,597.77
MTR-B002,2025-10-11 00:00:00,B,gallons,175.58
MTR-B003,2025-10-11 00:00:00,B,liters,850.94
MTR-B004,2025-10-11 00:00:00,B,liters,716.26
MTR-B005,2025-10-11 00:00:00,B,gallons,193.77
MTR-C001,2025-10-11 00:00:00,C,gallons,855.62
MTR-C002,2025-10-11 00:00:00,C,liters,2889.16
MTR-C003,2025-10-11 00:00:00,C,gallons,1181.79
MTR-C004,2025-10-11 00:00:00,C,gallons,946.12
MTR-C005,2025-10-11 00:00:00,C,liters,4413.17
MTR-D001,2025-10-11 00:00:00,D,gallons,8004.55
MTR-A001,2025-10-12 00:00:00,A,gallons,92.24
MTR-A002,2025-10-12 00:00:00,A,liters,115.45
MTR-A003,2025-10-12 00:00:00,A,liters,449.12
MTR-A004,2025-10-12 00:00:00,A,liters,408.06
MTR-A005,2025-10-12 00:00:00,A,gallons,99.81
MTR-A006,2025-10-12 00:00:00,A,gallons,103.6
MTR-A007,2025-10-12 00:00:00,A,gallons,115.28
MTR-A008,2025-10-12 00:00:00,A,liters,521.18
MTR-A009,2025-10-12 00:00:00,A,gallons,83.2
MTR-A010,2025-10-12 00:00:00,A,liters,431.32
MTR-B001,2025-10-12 00:00:00,B,liters,657.04
MTR-B002,2025-10-12 00:00:00,B,gallons,241.5
MTR-B003,2025-10-12 00:00:00,B,liters,997.06
MTR-B004,2025-10-12 00:00:00,B,liters,697.15
MTR-B005,2025-10-12 00:00:00,B,gallons,147.31
MTR-C001,2025-10-12 00:00:00,C,gallons,1290.44
MTR-C002,2025-10-12 00:00:00,C,liters,3697.03
MTR-C003,2025-10-12 00:00:00,C,gallons,1368.21
MTR-C004,2025-10-12 00:00:00,C,gallons,1018.11
MTR-C005,2025-10-12 00:00:00,C,liters,3444.32
MTR-D001,2025-10-12 00:00:00,D,gallons,9405.23
MTR-A001,2025-10-13 00:00:00,A,gallons,109.96
MTR-A002,2025-10-13 00:00:00,A,liters,363.32
MTR-A003,2025-10-13 00:00:00,A,liters,405.5
MTR-A004,2025-10-13 00:00:00,A,liters,402.44
MTR-A005,2025-10-13 00:00:00,A,gallons,84.94
MTR-A006,2025-10-13 00:00:00,A,gallons,94.77
MTR-A007,2025-10-13 00:00:00,A,gallons,74.85
MTR-A008,2025-10-13 00:00:00,A,liters,304.85
MTR-A009,2025-10-13 00:00:00,A,gallons,108.15
MTR-A010,2025-10-13 00:00:00,A,liters,481.39
MTR-B001,2025-10-13 00:00:00,B,liters,741.7
MTR-B002,2025-10-13 00:00:00,B,gallons,246.14
MTR-B003,2025-10-13 00:00:00,B,liters,999.72
MTR-B004,2025-10-13 00:00:00,B,liters,592.94
MTR-B005,2025-10-13 00:00:00,B,gallons,235.12
MTR-C001,2025-10-13 00:00:00,C,gallons,1115.04
MTR-C002,2025-10-13 00:00:00,C,liters,3774.76
MTR-C003,2025-10-13 00:00:00,C,gallons,1016.62
MTR-C004,2025-10-13 00:00:00,C,gallons,
MTR-C005,2025-10-13 00:00:00,C,liters,2716.92
MTR-D001,2025-10-13 00:00:00,D,gallons,7876.6
MTR-A001,2025-10-14 00:00:00,A,gallons,132.79
MTR-A002,2025-10-14 00:00:00,A,liters,302.74
MTR-A003,2025-10-14 00:00:00,A,liters,353.02
MTR-A004,2025-10-14 00:00:00,A,liters,408.43
MTR-A005,2025-10-14 00:00:00,A,gallons,100.48
MTR-A006,2025-10-14 00:00:00,A,gallons,132.13
MTR-A007,2025-10-14 00:00:00,A,gallons,70.99
MTR-A008,2025-10-14 00:00:00,A,liters,240.77
MTR-A009,2025-10-14 00:00:00,A,gallons,89.28
MTR-A010,2025-10-14 00:00:00,A,liters,341.31
MTR-B001,2025-10-14 00:00:00,B,liters,714.6
MTR-B002,2025-10-14 00:00:00,B,gallons,223.91
MTR-B003,2025-10-14 00:00:00,B,liters,850.4
MTR-B004,2025-10-14 00:00:00,B,liters,974.52
MTR-B005,2025-10-14 00:00:00,B,gallons,157.7
MTR-C001,2025-10-14 00:00:00,C,gallons,1274.4
MTR-C002,2025-10-14 00:00:00,C,liters,2541.06
MTR-C003,2025-10-14 00:00:00,C,gallons,1037.62
MTR-C004,2025-10-14 00:00:00,C,gallons,1146.8
MTR-C005,2025-10-14 00:00:00,C,liters,4837.69
MTR-D001,2025-10-14 00:00:00,D,gallons,9047.59
MTR-A001,2025-10-15 00:00:00,A,gallons,115.25
MTR-A002,2025-10-15 00:00:00,A,liters,327.09
MTR-A003,2025-10-15 00:00:00,A,liters,346.69
MTR-A004,2025-10-15 00:00:00,A,liters,348.38
MTR-A005,2025-10-15 00:00:00,A,gallons,136.18
MTR-A006,2025-10-15 00:00:00,A,gallons,82.94
MTR-A007,2025-10-15 00:00:00,A,gallons,136.09
MTR-A008,2025-10-15 00:00:00,A,liters,357.96
MTR-A009,2025-10-15 00:00:00,A,gallons,103.29
MTR-A010,2025-10-15 00:00:00,A,liters,367.04
MTR-B001,2025-10-15 00:00:00,B,liters,745.61
MTR-B002,2025-10-15 00:00:00,B,gallons,164.18
MTR-B003,2025-10-15 00:00:00,B,liters,1004.34
MTR-B004,2025-10-15 00:00:00,B,liters,642.28
MTR-B005,2025-10-15 00:00:00,B,gallons,247.94
MTR-C001,2025-10-15 00:00:00,C,gallons,724.85
MTR-C002,2025-10-15 00:00:00,C,liters,3645.0
MTR-C003,2025-10-15 00:00:00,C,gallons,1349.97
MTR-C004,2025-10-15 00:00:00,C,gallons,1315.64
MTR-C005,2025-10-15 00:00:00,C,liters,4750.01
MTR-D001,2025-10-15 00:00:00,D,gallons,8447.31
MTR-A001,2025-10-16 00:00:00,A,gallons,444.95
MTR-A002,2025-10-16 00:00:00,A,liters,412.7
MTR-A003,2025-10-16 00:00:00,A,liters,301.71
MTR-A004,2025-10-16 00:00:00,A,liters,332.71
MTR-A005,2025-10-16 00:00:00,A,gallons,133.5
MTR-A006,2025-10-16 00:00:00,A,gallons,100.61
MTR-A007,2025-10-16 00:00:00,A,gallons,104.33
MTR-A008,2025-10-16 00:00:00,A,liters,402.16
MTR-A009,2025-10-16 00:00:00,A,gallons,116.71
MTR-A010,2025-10-16 00:00:00,A,liters,508.65
MTR-B001,2025-10-16 00:00:00,B,liters,459.5
MTR-B002,2025-10-16 00:00:00,B,gallons,189.57
MTR-B003,2025-10-16 00:00:00,B,liters,970.34
MTR-B004,2025-10-16 00:00:00,B,liters,412.36
MTR-B005,2025-10-16 00:00:00,B,gallons,266.44
MTR-C001,2025-10-16 00:00:00,C,gallons,538.85
MTR-C002,2025-10-16 00:00:00,C,liters,3381.19
MTR-C003,2025-10-16 00:00:00,C,gallons,1397.3
MTR-C004,2025-10-16 00:00:00,C,gallons,1351.79
MTR-C005,2025-10-16 00:00:00,C,liters,4627.34
MTR-D001,2025-10-16 00:00:00,D,gallons,10309.1
MTR-A001,2025-10-17 00:00:00,A,gallons,99.07
MTR-A002,2025-10-17 00:00:00,A,liters,414.64
MTR-A003,2025-10-17 00:00:00,A,liters,266.47
MTR-A004,2025-10-17 00:00:00,A,liters,427.4
MTR-A005,2025-10-17 00:00:00,A,gallons,89.36
MTR-A006,2025-10-17 00:00:00,A,gallons,125.15
MTR-A007,2025-10-17 00:00:00,A,gallons,80.32
MTR-A008,2025-10-17 00:00:00,A,liters,373.19
MTR-A009,2025-10-17 00:00:00,A,gallons,86.41
MTR-A010,2025-10-17 00:00:00,A,liters,351.67
MTR-B001,2025-10-17 00:00:00,B,liters,754.83
MTR-B002,2025-10-17 00:00:00,B,gallons,197.75
MTR-B003,2025-10-17 00:00:00,B,liters,925.16
MTR-B004,2025-10-17 00:00:00,B,liters,672.21
MTR-B005,2025-10-17 00:00:00,B,gallons,187.43
MTR-C001,2025-10-17 00:00:00,C,gallons,676.86
MTR-C002,2025-10-17 00:00:00,C,liters,3440.78
MTR-C003,2025-10-17 00:00:00,C,gallons,832.84
MTR-C004,2025-10-17 00:00:00,C,gallons,1267.38
MTR-C005,2025-10-17 00:00:00,C,liters,4261.48
MTR-D001,2025-10-17 00:00:00,D,gallons,7580.86
MTR-A001,2025-10-18 00:00:00,A,gallons,115.2
MTR-A002,2025-10-18 00:00:00,A,liters,448.3
MTR-A003,2025-10-18 00:00:00,A,liters,279.97
MTR-A004,2025-10-18 00:00:00,A,liters,358.29
MTR-A005,2025-10-18 00:00:00,A,gallons,116.35
MTR-A006,2025-10-18 00:00:00,A,gallons,82.98
MTR-A007,2025-10-18 00:00:00,A,gallons,111.05
MTR-A008,2025-10-18 00:00:00,A,liters,367.36
MTR-A009,2025-10-18 00:00:00,A,gallons,110.01
MTR-A010,2025-10-18 00:00:00,A,liters,220.76
MTR-B001,2025-10-18 00:00:00,B,liters,929.42
MTR-B002,2025-10-18 00:00:00,B,gallons,161.91
MTR-B003,2025-10-18 00:00:00,B,liters,463.65
MTR-B004,2025-10-18 00:00:00,B,liters,661.25
MTR-B005,2025-10-18 00:00:00,B,gallons,177.53
MTR-C001,2025-10-18 00:00:00,C,gallons,994.56
MTR-C002,2025-10-18 00:00:00,C,liters,3779.01
MTR-C003,2025-10-18 00:00:00,C,gallons,951.26
MTR-C004,2025-10-18 00:00:00,C,gallons,1206.35
MTR-C005,2025-10-18 00:00:00,C,liters,2817.85
MTR-D001,2025-10-18 00:00:00,D,gallons,7297.57
MTR-A001,2025-10-19 00:00:00,A,gallons,78.91
MTR-A002,2025-10-19 00:00:00,A,liters,396.39
MTR-A003,2025-10-19 00:00:00,A,liters,397.92
MTR-A004,2025-10-19 00:00:00,A,liters,462.04
MTR-A005,2025-10-19 00:00:00,A,gallons,129.01
MTR-A006,2025-10-19 00:00:00,A,gallons,79.25
MTR-A007,2025-10-19 00:00:00,A,gallons,104.07
MTR-A008,2025-10-19 00:00:00,A,liters,406.44
MTR-A009,2025-10-19 00:00:00,A,gallons,71.82
MTR-A010,2025-10-19 00:00:00,A,liters,368.15
MTR-B001,2025-10-19 00:00:00,B,liters,614.42
MTR-B002,2025-10-19 00:00:00,B,gallons,263.55
MTR-B003,2025-10-19 00:00:00,B,liters,758.7
MTR-B004,2025-10-19 00:00:00,B,liters,530.75
MTR-B005,2025-10-19 00:00:00,B,gallons,204.23
MTR-C001,2025-10-19 00:00:00,C,gallons,1131.6
MTR-C002,2025-10-19 00:00:00,C,liters,4346.13
MTR-C003,2025-10-19 00:00:00,C,gallons,1022.91
MTR-C004,2025-10-19 00:00:00,C,gallons,615.35
MTR-C005,2025-10-19 00:00:00,C,liters,4014.75
MTR-D001,2025-10-19 00:00:00,D,gallons,892.81
MTR-A001,2025-10-20 00:00:00,A,gallons,109.14
MTR-A002,2025-10-20 00:00:00,A,liters,344.41
MTR-A003,2025-10-20 00:00:00,A,liters,342.3
MTR-A004,2025-10-20 00:00:00,A,liters,349.3
MTR-A005,2025-10-20 00:00:00,A,gallons,77.96
MTR-A006,2025-10-20 00:00:00,A,gallons,101.1
MTR-A007,2025-10-20 00:00:00,A,gallons,129.2
MTR-A008,2025-10-20 00:00:00,A,liters,504.7
MTR-A009,2025-10-20 00:00:00,A,gallons,101.16
MTR-A010,2025-10-20 00:00:00,A,liters,383.06
MTR-B001,2025-10-20 00:00:00,B,liters,685.76
MTR-B002,2025-10-20 00:00:00,B,gallons,177.82
MTR-B003,2025-10-20 00:00:00,B,liters,799.76
MTR-B004,2025-10-20 00:00:00,B,liters,933.66
MTR-B005,2025-10-20 00:00:00,B,gallons,187.39
MTR-C001,2025-10-20 00:00:00,C,gallons,1143.95
MTR-C002,2025-10-20 00:00:00,C,liters,3963.29
MTR-C003,2025-10-20 00:00:00,C,gallons,1127.93
MTR-C004,2025-10-20 00:00:00,C,gallons,819.99
MTR-C005,2025-10-20 00:00:00,C,liters,4142.13
MTR-D001,2025-10-20 00:00:00,D,gallons,6592.63
MTR-A001,2025-10-21 00:00:00,A,gallons,126.83
MTR-A002,2025-10-21 00:00:00,A,liters,370.8
MTR-A003,2025-10-21 00:00:00,A,liters,530.28
MTR-A004,2025-10-21 00:00:00,A,liters,329.28
MTR-A005,2025-10-21 00:00:00,A,gallons,75.78
MTR-A006,2025-10-21 00:00:00,A,gallons,79.27
MTR-A007,2025-10-21 00:00:00,A,gallons,62.33
MTR-A008,2025-10-21 00:00:00,A,liters,374.26
MTR-A009,2025-10-21 00:00:00,A,gallons,59.25
MTR-A010,2025-10-21 00:00:00,A,liters,330.69
MTR-B001,2025-10-21 00:00:00,B,liters,750.23
MTR-B002,2025-10-21 00:00:00,B,gallons,154.65
MTR-B003,2025-10-21 00:00:00,B,liters,2251.49
MTR-B004,2025-10-21 00:00:00,B,liters,871.01
MTR-B005,2025-10-21 00:00:00,B,gallons,155.79
MTR-C001,2025-10-21 00:00:00,C,gallons,740.64
MTR-C002,2025-10-21 00:00:00,C,liters,2732.03
MTR-C003,2025-10-21 00:00:00,C,gallons,962.53
MTR-C004,2025-10-21 00:00:00,C,gallons,987.64
MTR-C005,2025-10-21 00:00:00,C,liters,4085.85
MTR-D001,2025-10-21 00:00:00,D,gallons,7822.73
MTR-A001,2025-10-22 00:00:00,A,gallons,115.53
MTR-A002,2025-10-22 00:00:00,A,liters,338.52
MTR-A003,2025-10-22 00:00:00,A,liters,464.0
MTR-A004,2025-10-22 00:00:00,A,liters,413.97
MTR-A005,2025-10-22 00:00:00,A,gallons,111.08
MTR-A006,2025-10-22 00:00:00,A,gallons,89.2
MTR-A007,2025-10-22 00:00:00,A,gallons,70.61
MTR-A008,2025-10-22 00:00:00,A,liters,449.79
MTR-A009,2025-10-22 00:00:00,A,gallons,108.04
MTR-A010,2025-10-22 00:00:00,A,liters,302.84
MTR-B001,2025-10-22 00:00:00,B,liters,715.55
MTR-B002,2025-10-22 00:00:00,B,gallons,211.19
MTR-B003,2025-10-22 00:00:00,B,liters,2728.15
MTR-B004,2025-10-22 00:00:00,B,liters,922.85
MTR-B005,2025-10-22 00:00:00,B,gallons,170.17
MTR-C001,2025-10-22 00:00:00,C,gallons,867.67
MTR-C002,2025-10-22 00:00:00,C,liters,2379.54
MTR-C003,2025-10-22 00:00:00,C,gallons,1019.14
MTR-C004,2025-10-22 00:00:00,C,gallons,805.26
MTR-C005,2025-10-22 00:00:00,C,liters,4489.86
MTR-D001,2025-10-22 00:00:00,D,gallons,8034.49
MTR-A001,2025-10-23 00:00:00,A,gallons,100.86
MTR-A002,2025-10-23 00:00:00,A,liters,230.2
MTR-A003,2025-10-23 00:00:00,A,liters,454.09
MTR-A004,2025-10-23 00:00:00,A,liters,355.78
